# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
282400 35319 0 35281 5 315 345
282800 35369 0 35331 5 315 345
283200 35424 0 35376 5 315 345
283600 35485 0 35415 5 315 345
284000 35539 0 35461 5 315 345
284400 35583 0 35517 5 315 345
284800 35640 0 35560 5 315 345
285200 35686 0 35614 5 315 345
285600 35739 0 35661 5 315 345
286000 35789 0 35711 5 315 345
286400 35846 0 35754 5 315 345
286800 35895 0 35805 5 315 345
287200 35937 0 35863 5 315 345
287600 35990 0 35910 5 315 345
288000 36031 0 35969 5 315 345
288400 36084 0 36016 5 315 345
288800 36132 0 36068 5 315 345
289200 36180 0 36120 5 315 345
289600 36228 0 36172 5 315 345
290000 36269 0 36231 5 315 345
290400 36321 0 36279 5 315 345
290800 36377 0 36323 5 315 345
291200 36428 0 36372 5 315 345
291600 36476 0 36424 5 315 345
292000 36532 0 36468 5 315 345
292400 36574 0 36526 5 315 345
292800 36620 0 36580 5 315 345
293200 36672 0 36628 5 315 345
293600 36728 0 36672 5 315 345
294000 36789 0 36711 5 315 345
294400 36834 0 36766 5 315 345
294800 36889 0 36811 5 315 345
295200 36937 0 36863 5 315 345
295600 36991 0 36909 5 315 345
296000 37043 0 36957 6 314 344
296400 37089 0 37011 6 314 344
296800 37137 0 37063 6 314 344
297200 37196 0 37104 6 314 344
297600 37254 0 37146 6 314 344
298000 37291 0 37209 6 314 344
298400 37337 0 37263 6 314 344
298800 37383 0 37317 6 314 344
299200 37435 0 37365 6 314 344
299600 37476 0 37424 6 314 344
300000 37535 0 37465 6 314 344
300400 37582 0 37518 6 314 344
300800 37636 0 37564 6 314 344
301200 37685 0 37615 6 314 344
301600 37732 0 37668 6 314 344
302000 37778 0 37722 6 314 344
302400 37833 0 37767 6 314 344
302800 37876 0 37824 6 314 344
303200 37922 0 37878 6 314 344
303600 37971 0 37929 6 314 344
304000 38022 0 37978 6 314 344
304400 38073 0 38027 6 314 344
304800 38129 0 38071 6 314 344
305200 38184 0 38116 6 314 344
305600 38234 0 38166 6 314 344
306000 38288 0 38212 6 314 344
306400 38339 0 38261 6 314 344
306800 38390 0 38310 6 314 344
307200 38439 0 38361 6 314 344
307600 38494 0 38406 6 314 344
308000 38549 0 38451 6 314 344
308400 38608 0 38492 6 314 344
