# Time-averaged data for fix cgcmcstat
# TimeStep v_ciatt v_ciacc v_cdatt v_cdacc v_nco2 v_nmob
262000 32821 2 32679 12 20 339
262400 32868 2 32732 12 20 339
262800 32918 2 32782 12 20 339
263200 32961 2 32839 12 20 339
263600 33016 2 32884 12 20 339
264000 33068 2 32932 12 20 339
264400 33126 2 32974 12 20 339
264800 33180 2 33020 12 20 339
265200 33232 2 33068 12 20 339
265600 33286 2 33114 12 20 339
266000 33331 2 33169 12 20 339
266400 33381 2 33219 12 20 339
266800 33433 2 33267 12 20 339
267200 33486 2 33314 12 20 339
267600 33541 2 33359 12 20 339
268000 33590 2 33410 12 20 339
268400 33646 2 33454 12 20 339
268800 33712 2 33488 12 20 339
269200 33770 2 33530 12 20 339
269600 33820 2 33580 12 20 339
270000 33864 2 33636 12 20 339
270400 33914 2 33686 12 20 339
270800 33964 2 33736 12 20 339
271200 34007 2 33793 12 20 339
271600 34064 2 33836 12 20 339
272000 34112 2 33888 12 20 339
272400 34167 2 33933 12 20 339
272800 34228 2 33972 12 20 339
273200 34287 2 34013 12 20 339
273600 34330 2 34070 12 20 339
274000 34383 2 34117 12 20 339
274400 34421 2 34179 12 20 339
274800 34479 2 34221 12 20 339
275200 34529 2 34271 12 20 339
275600 34592 2 34308 12 20 339
276000 34650 2 34350 12 20 339
276400 34697 2 34403 12 20 339
276800 34755 2 34445 12 20 339
277200 34812 2 34488 12 20 339
277600 34865 2 34535 12 20 339
278000 34912 2 34588 12 20 339
278400 34964 2 34636 12 20 339
278800 35014 2 34686 12 20 339
279200 35062 2 34738 12 20 339
279600 35118 2 34782 12 20 339
280000 35171 2 34829 12 20 339
280400 35225 2 34875 12 20 339
280800 35269 2 34931 12 20 339
281200 35321 2 34979 12 20 339
281600 35368 2 35032 12 20 339
282000 35416 2 35084 12 20 339
282400 35473 2 35127 12 20 339
282800 35524 2 35176 12 20 339
283200 35581 2 35219 12 20 339
283600 35634 2 35266 12 20 339
284000 35684 2 35316 12 20 339
284400 35740 2 35360 12 20 339
284800 35788 2 35412 12 20 339
285200 35841 2 35459 12 20 339
285600 35888 2 35512 12 20 339
286000 35942 2 35558 12 20 339
286400 35993 2 35607 12 20 339
286800 36048 2 35652 12 20 339
287200 36096 2 35704 12 20 339
287600 36144 2 35756 12 20 339
288000 36198 2 35802 12 20 339
288400 36247 2 35853 12 20 339
288800 36307 2 35893 12 20 339
289200 36350 2 35950 12 20 339
289600 36398 2 36002 12 20 339
290000 36456 2 36044 12 20 339
290400 36509 2 36091 12 20 339
290800 36573 2 36127 12 20 339
291200 36623 2 36177 12 20 339
291600 36664 2 36236 12 20 339
292000 36721 2 36279 12 20 339
292400 36766 2 36334 12 20 339
292800 36809 2 36391 12 20 339
293200 36869 2 36431 12 20 339
293600 36913 2 36487 12 20 339
294000 36963 2 36537 12 20 339
294400 37023 2 36577 12 20 339
294800 37078 2 36622 12 20 339
295200 37116 2 36684 12 20 339
